Location_ID,Location_of_Breached_Information_Desktop Computer,Location_of_Breached_Information_Laptop,Location_of_Breached_Information_Network Server,Location_of_Breached_Information_Other,Location_of_Breached_Information_Other Portable Electronic Device,Location_of_Breached_Information_Paper
0,0,0,0,0,0,1
1,0,0,1,0,0,0
2,0,1,0,0,0,0
3,1,0,0,0,0,0
4,1,0,0,0,0,0
5,1,0,0,0,0,0
6,1,0,0,0,0,0
7,1,0,0,0,0,0
8,0,1,0,0,0,0
9,0,1,0,0,0,0
10,0,1,0,0,0,0
11,0,0,0,0,0,1
12,0,0,0,1,0,0
13,0,0,0,0,1,0
14,0,0,0,1,0,0
15,0,0,0,0,0,1
16,0,0,0,0,0,1
17,0,0,0,1,0,0
18,0,0,0,1,0,0
19,0,1,0,0,0,0
20,1,0,0,0,0,0
21,0,1,0,0,0,0
22,0,0,0,1,0,0
23,0,1,0,0,0,0
24,0,0,0,1,0,0
25,0,0,0,0,0,1
26,0,1,0,0,0,0
27,0,0,0,0,0,1
28,0,0,0,0,0,1
29,0,0,0,0,0,1
30,1,0,0,0,0,0
31,0,0,0,0,0,1
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,0,0,1,0,0,0
35,0,0,0,1,0,0
36,0,1,0,0,0,0
37,0,1,0,0,0,0
38,0,0,0,0,0,1
39,0,1,0,0,0,0
40,0,0,0,0,0,1
41,0,1,0,0,0,0
42,0,1,0,0,0,0
43,0,0,1,0,0,0
44,0,1,0,0,0,0
45,0,0,0,0,1,0
46,0,0,0,1,0,0
47,0,0,0,0,0,1
48,0,1,0,0,0,0
49,0,0,0,0,0,1
50,0,1,0,0,0,0
51,0,0,0,1,0,0
52,0,0,0,1,0,0
53,0,1,0,0,0,0
54,0,1,0,0,0,0
55,0,0,0,0,0,1
56,0,0,0,0,0,1
57,1,0,0,0,0,0
58,0,0,0,1,0,0
59,0,0,0,0,0,1
60,0,0,0,0,0,1
61,0,1,0,0,0,0
62,0,0,1,0,0,0
63,1,0,0,0,0,0
64,0,1,0,0,0,0
65,0,1,0,0,0,0
66,0,1,0,0,0,0
67,0,0,0,0,0,1
68,0,1,0,0,0,0
69,0,0,0,1,0,0
70,0,0,0,0,0,1
71,0,1,0,0,0,0
72,0,1,0,0,0,0
73,0,1,0,0,0,0
74,0,1,0,0,0,0
75,0,0,0,0,0,1
76,0,0,0,1,0,0
77,0,1,0,0,0,0
78,0,0,1,0,0,0
79,0,1,0,0,0,0
80,0,1,0,0,0,0
81,0,0,1,0,0,0
82,0,0,0,1,0,0
83,0,0,1,0,0,0
84,0,1,0,0,0,0
85,0,0,0,0,0,1
86,0,0,0,0,1,0
87,0,0,0,0,0,1
88,0,1,0,0,0,0
89,1,0,0,0,0,0
90,0,0,0,0,1,0
91,0,0,0,0,0,1
92,1,0,0,0,0,0
93,0,1,0,0,0,0
94,1,0,0,0,0,0
95,0,0,0,0,0,1
96,0,0,1,0,0,0
97,0,0,0,0,0,1
98,1,0,0,0,0,0
99,0,0,0,0,0,1
100,0,0,1,0,0,0
101,0,0,0,0,0,1
102,0,0,0,1,0,0
103,0,1,0,0,0,0
104,0,1,0,0,0,0
105,0,1,0,0,0,0
106,0,0,0,1,0,0
107,0,1,0,0,0,0
108,0,0,1,0,0,0
109,0,1,0,0,0,0
110,0,0,0,0,0,1
111,0,1,0,0,0,0
112,1,0,0,0,0,0
113,0,0,0,1,0,0
114,1,0,0,0,0,0
115,1,0,0,0,0,0
116,0,1,0,0,0,0
117,0,1,0,0,0,0
118,0,1,0,0,0,0
119,0,0,0,0,0,1
120,0,0,0,0,1,0
121,0,0,0,0,1,0
122,0,0,1,0,0,0
123,0,1,0,0,0,0
124,0,0,0,0,0,1
125,0,0,0,0,0,1
126,0,0,0,0,1,0
127,0,0,0,0,0,1
128,0,0,0,0,0,1
129,1,0,0,0,0,0
130,0,0,0,0,0,1
131,0,1,0,0,0,0
132,0,0,0,0,0,1
133,0,0,1,0,0,0
134,0,0,0,0,0,1
135,1,0,0,0,0,0
136,1,0,0,0,0,0
137,0,0,0,0,0,1
138,0,1,0,0,0,0
139,0,0,0,0,0,1
140,0,0,0,1,0,0
141,0,1,0,0,0,0
142,0,0,1,0,0,0
143,0,0,0,1,0,0
144,0,0,0,0,0,1
145,0,0,1,0,0,0
146,1,0,0,0,0,0
147,0,1,0,0,0,0
148,1,0,0,0,0,0
149,0,1,0,0,0,0
150,0,0,0,0,0,1
151,0,1,0,0,0,0
152,0,1,0,0,0,0
153,0,0,0,0,0,1
154,0,0,1,0,0,0
155,0,0,0,0,0,1
156,1,0,0,0,0,0
157,1,0,0,0,0,0
158,0,0,0,0,0,1
159,0,0,0,0,0,1
160,1,0,0,0,0,0
161,0,0,1,0,0,0
162,1,0,0,0,0,0
163,0,1,0,0,0,0
164,0,0,0,0,0,1
165,0,0,0,1,0,0
166,0,1,0,0,0,0
167,0,1,0,0,0,0
168,0,0,0,0,0,1
169,0,0,1,0,0,0
170,0,0,1,0,0,0
171,0,1,0,0,0,0
172,0,1,0,0,0,0
173,1,0,0,0,0,0
174,1,0,0,0,0,0
175,0,0,0,1,0,0
176,0,1,0,0,0,0
177,1,0,0,0,0,0
178,0,0,0,0,0,1
179,0,0,1,0,0,0
180,0,0,0,0,0,1
181,1,0,0,0,0,0
182,0,0,0,1,0,0
183,0,0,1,0,0,0
184,0,0,0,0,0,1
185,0,0,0,0,0,1
186,1,0,0,0,0,0
187,0,1,0,0,0,0
188,0,0,0,0,0,1
189,1,0,0,0,0,0
190,0,0,0,0,0,1
191,0,1,0,0,0,0
192,1,0,0,0,0,0
193,0,1,0,0,0,0
194,0,0,0,1,0,0
195,0,0,1,0,0,0
196,0,0,0,1,0,0
197,0,0,0,0,0,1
198,0,0,0,0,0,1
199,0,0,0,0,0,1
200,0,0,0,1,0,0
201,1,0,0,0,0,0
202,0,0,1,0,0,0
203,0,0,0,1,0,0
204,0,1,0,0,0,0
205,0,1,0,0,0,0
206,0,1,0,0,0,0
207,0,1,0,0,0,0
208,0,0,0,1,0,0
209,0,0,0,0,0,1
210,1,0,0,0,0,0
211,1,0,0,0,0,0
212,0,1,0,0,0,0
213,0,0,0,1,0,0
214,0,0,0,0,0,1
215,0,0,0,0,0,1
216,0,0,0,0,0,1
217,0,0,0,0,0,1
218,1,0,0,0,0,0
219,0,0,0,0,0,1
220,0,1,0,0,0,0
221,0,0,0,0,0,1
222,1,0,0,0,0,0
223,0,0,0,1,0,0
224,0,1,0,0,0,0
225,0,1,0,0,0,0
226,0,0,0,0,0,1
227,0,1,0,0,0,0
228,0,0,0,0,0,1
229,0,0,0,1,0,0
230,0,1,0,0,0,0
231,0,0,0,0,0,1
232,0,0,1,0,0,0
233,1,0,0,0,0,0
234,0,0,0,0,0,1
235,0,0,1,0,0,0
236,0,0,1,0,0,0
237,0,0,0,0,0,1
238,0,0,0,0,0,1
239,0,0,0,0,0,1
240,0,0,0,0,0,1
241,0,1,0,0,0,0
242,0,1,0,0,0,0
243,1,0,0,0,0,0
244,0,0,0,0,0,1
245,0,0,0,0,1,0
246,0,0,1,0,0,0
247,0,0,0,0,0,1
248,0,0,1,0,0,0
249,0,0,0,1,0,0
250,0,1,0,0,0,0
251,0,1,0,0,0,0
252,0,0,0,1,0,0
253,0,0,0,0,0,1
254,0,0,1,0,0,0
255,0,1,0,0,0,0
256,1,0,0,0,0,0
257,0,0,0,0,0,1
258,0,0,0,0,0,1
259,0,1,0,0,0,0
260,0,0,0,0,0,1
261,0,0,0,0,0,1
262,0,1,0,0,0,0
263,0,0,0,0,0,1
264,0,0,0,0,0,1
265,0,0,0,1,0,0
266,1,0,0,0,0,0
267,0,1,0,0,0,0
268,0,0,0,1,0,0
269,0,1,0,0,0,0
270,0,1,0,0,0,0
271,0,0,0,1,0,0
