Intrusion_ID,Type_ID,Type_of_Breach_Hacking/IT Incident,Type_of_Breach_Improper Disposal,Type_of_Breach_Loss,Type_of_Breach_Other,Type_of_Breach_Theft,Type_of_Breach_Unauthorized Access/Disclosure,Location_ID
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0,1
3,2,0,0,1,0,0,0,2
4,3,0,0,0,0,1,0,3
5,4,0,0,0,0,1,0,4
6,5,0,0,0,0,1,0,5
7,6,0,0,0,0,1,0,6
8,7,0,0,0,0,1,0,7
9,8,0,0,0,0,1,0,8
10,9,0,0,0,0,1,0,9
11,10,0,0,0,0,1,0,10
12,11,0,0,0,1,0,0,11
13,12,0,0,0,0,1,0,12
15,13,0,0,0,0,1,0,13
19,14,0,0,0,0,1,0,14
20,15,0,0,0,0,1,0,15
21,16,0,0,0,0,1,0,16
23,17,0,0,0,0,1,0,17
24,18,0,0,0,0,1,0,18
26,19,0,0,0,0,1,0,19
27,20,0,0,0,0,1,0,20
28,21,0,0,0,0,1,0,21
29,22,0,0,0,0,1,0,22
30,23,0,0,0,0,1,0,23
32,24,0,0,0,0,1,0,24
33,25,0,0,0,0,1,0,25
34,26,0,0,0,0,1,0,26
35,27,0,0,0,1,0,0,27
36,28,0,0,0,0,1,0,28
37,29,0,0,0,0,1,0,29
38,30,0,0,0,0,1,0,30
39,31,0,0,0,0,1,0,31
40,32,0,0,0,1,0,0,32
41,33,0,0,0,1,0,0,33
42,34,0,0,0,0,1,0,34
43,35,0,0,0,0,1,0,35
44,36,0,0,0,0,1,0,36
46,37,0,0,0,0,1,0,37
47,38,0,0,0,0,1,0,38
48,39,0,0,0,0,1,0,39
50,40,0,0,0,1,0,0,40
51,41,0,0,0,0,1,0,41
52,42,0,0,0,0,1,0,42
53,43,1,0,0,0,0,0,43
54,44,0,0,0,0,1,0,44
56,45,0,0,0,0,1,0,45
58,46,0,0,0,1,0,0,46
59,47,0,0,1,0,0,0,47
60,48,0,0,0,0,1,0,48
61,49,0,0,0,1,0,0,49
62,50,0,0,0,0,1,0,50
63,51,0,0,0,0,1,0,51
64,52,0,0,0,1,0,0,52
65,53,0,0,0,0,1,0,53
66,54,0,0,0,0,1,0,54
67,55,0,0,0,0,1,0,55
68,56,0,1,0,0,0,0,56
69,57,0,0,0,0,1,0,57
71,58,0,0,1,0,0,0,58
76,59,0,0,0,0,1,0,59
77,60,0,0,1,0,0,0,60
78,61,0,0,0,0,1,0,61
80,62,0,0,0,0,1,0,62
81,63,0,0,0,0,1,0,63
82,64,0,0,0,0,1,0,64
83,65,0,0,0,0,1,0,65
84,66,0,0,0,0,1,0,66
85,67,0,0,0,1,0,0,67
86,68,0,0,0,0,1,0,68
87,69,0,0,1,0,0,0,69
88,70,0,1,0,0,0,0,70
89,71,0,0,0,0,1,0,71
90,72,0,0,0,0,1,0,72
91,73,0,0,0,0,1,0,73
92,74,0,0,0,0,1,0,74
93,75,0,0,0,1,0,0,75
94,76,0,0,0,0,1,0,76
95,77,0,0,0,0,1,0,77
96,78,1,0,0,0,0,0,78
97,79,0,0,1,0,0,0,79
98,80,0,0,0,0,1,0,80
101,81,0,0,0,0,1,0,81
102,82,0,0,1,0,0,0,82
103,83,0,0,0,0,1,0,83
105,84,0,0,0,0,1,0,84
106,85,0,0,0,1,0,0,85
110,86,0,0,0,0,1,0,86
111,87,0,0,0,1,0,0,87
112,88,0,0,0,0,1,0,88
113,89,0,0,0,0,1,0,89
114,90,0,0,0,0,1,0,90
116,91,0,0,0,1,0,0,91
118,92,0,0,0,0,1,0,92
119,93,0,0,0,0,1,0,93
